   Meter ID  = 11602995
   Pulse output  = 1 (12)
   Type  = Water (0)
   Current Status  = OK (0)
   Readings received  = 173
   Time since last reading  = 446 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 304 = 21940	Time: 3/3/2016 2:36
      Read 305 = 21916	Time: 3/2/2016 2:36
      Read 306 = 21905	Time: 3/1/2016 2:36
      Read 307 = 21876	Time: 2/29/2016 2:36
      Read 308 = 21864	Time: 2/28/2016 2:36
      Read 309 = 21847	Time: 2/27/2016 2:36
      Read 310 = 21839	Time: 2/26/2016 2:36
      Read 311 = 21823	Time: 2/25/2016 2:36
      Read 312 = 21808	Time: 2/24/2016 2:36
      Read 313 = 21800	Time: 2/23/2016 2:36
      Read 314 = 21775	Time: 2/22/2016 2:36
      Read 315 = 21748	Time: 2/21/2016 2:36
      Read 316 = 21738	Time: 2/20/2016 2:36
      Read 317 = 21711	Time: 2/19/2016 2:36
      Read 318 = 21703	Time: 2/18/2016 2:36
      Read 319 = 21681	Time: 2/17/2016 2:36
      Read 320 = 21660	Time: 2/16/2016 2:36
      Read 321 = 21658	Time: 2/15/2016 2:36
      Read 322 = 21641	Time: 2/14/2016 2:36
      Read 323 = 21622	Time: 2/13/2016 2:36
      Read 324 = 21599	Time: 2/12/2016 2:36
      Read 325 = 21589	Time: 2/11/2016 2:36
      Read 326 = 21588	Time: 2/10/2016 2:36
      Read 327 = 21571	Time: 2/9/2016 2:36
      Read 328 = 21545	Time: 2/8/2016 2:36
      Read 329 = 21534	Time: 2/7/2016 2:36
      Read 330 = 21516	Time: 2/6/2016 2:36
      Read 331 = 21503	Time: 2/5/2016 2:36
      Read 332 = 21483	Time: 2/4/2016 2:36
      Read 333 = 21482	Time: 2/3/2016 2:36
      Read 334 = 21458	Time: 2/2/2016 2:36
      Read 335 = 21447	Time: 2/1/2016 2:36
      Read 336 = 21421	Time: 1/31/2016 2:36
      Read 337 = 21404	Time: 1/30/2016 2:36
      Read 338 = 21379	Time: 1/29/2016 2:36
      Read 339 = 21352	Time: 1/28/2016 2:36
      Read 340 = 21335	Time: 1/27/2016 2:36
      Read 341 = 21314	Time: 1/26/2016 2:36
      Read 342 = 21295	Time: 1/25/2016 2:36
      Read 343 = 21267	Time: 1/24/2016 2:36
      Read 344 = 21254	Time: 1/23/2016 2:36
      Read 345 = 21243	Time: 1/22/2016 2:36
      Read 346 = 21237	Time: 1/21/2016 2:36
      Read 347 = 21230	Time: 1/20/2016 2:36
      Read 348 = 21215	Time: 1/19/2016 2:36
      Read 349 = 21202	Time: 1/18/2016 2:36
      Read 350 = 21176	Time: 1/17/2016 2:36
